dobih_number,os_id,dobih_name,os_name
14913,osgb4000000074615811,Foel,Foel
14916,osgb4000000074810312,Disgwylfa,Disgwylfa
14917,osgb4000000074593371,Bryn,Bryn
14919,osgb4000000074615860,Pen y Gurnos,Pen y Gurnos
14921,osgb4000000074599311,Cefn-crin,Cefn-crin
14923,osgb4000000074621713,Crugwydd,Crugwydd
14924,osgb4000000074620166,Yr Allt,Yr Allt
14926,osgb4000000074620943,Cyrnau,Cyrnau
14928,osgb4000000074615943,Moel Eiddew,Moel Eiddew
14930,osgb4000000074599248,Bryn Garreg-lwyd,Bryn Garreg-lwyd
14932,osgb4000000074621794,Panylau Gwynion,Panylau Gwynion
14933,osgb4000000074617428,Cefn yr Esgair,Cefn yr Esgair
14934,osgb4000000074619649,Gamallt,Gamallt
14937,osgb4000000074621314,Cefn Alltwinau,Cefn Alltwinau
14938,osgb4000000074618523,Castle Hill,Castle Hill
14939,osgb4000000074622396,Mynydd Talyglannau,Mynydd Talyglannau
14940,osgb4000000074619380,Bryn Crugog,Bryn Crugog
14941,osgb4000000074620933,Allt y Ddinas,Allt y Ddinas
14942,osgb4000000074599271,Bryn-y-crofftau,Bryn-y-crofftau
14945,osgb4000000074621313,Garn Dwad,Garn Dwad
14946,osgb4000000074810309,Bryn Mawr,Bryn Mawr
14948,osgb4000000074616250,Craig Gellidywyll,Craig Gellidywyll
14952,osgb4000000074616239,Cefn Bach,Cefn Bach
14956,osgb4000000074599221,Carn Nant-yr-ast,Carn Nant-yr-ast
14959,osgb4000000074599306,Esgair Llwyn-gwyn,Esgair Llwyn-gwyn
14962,osgb4000000074618914,Llandegley Rocks,Llandegley Rocks
14965,osgb4000000074619243,Wennallt,Wennallt
14969,osgb4000000074810310,Llethr Melyn,Llethr Melyn
14972,osgb4000000074617742,Yr Allt,Yr Allt
14973,osgb4000000074618521,Burl Hill,Burl Hill
14975,osgb4000000074616251,Garreg y Gwynt,Garreg y Gwynt
14976,osgb4000000074620098,Llysin Hill,Llysin Hill
14978,osgb4000000074622035,Lan Fawr,Lan Fawr
14979,osgb4000000074593055,Little Park,Little Park
14981,osgb4000000074618524,The Smatcher,The Smatcher
14985,osgb4000000074623629,Cwmcringlyn Bank,Cwmcringlyn Bank
14986,osgb4000000074616643,Pant-poeth Hill,Pant-poeth Hill
14987,osgb4000000074621720,Y Bryn,Y Bryn
14990,osgb4000000074617821,Moel y Garn,Moel y Garn
14991,osgb4000000074620107,Coety Bank,Coety Bank
14992,osgb4000000074621716,Bryn Clun,Bryn Clun
14994,osgb4000000074616647,Disgwylfa Fach,Disgwylfa Fach
14998,osgb4000000074615799,Hanter Hill,Hanter Hill
14999,osgb4000000074617013,Cerrig Cyffion,Cerrig Cyffion
15000,osgb4000000074616976,Ddifed,Ddifed
15008,osgb4000000074616252,Graig Iar,Craig Iâr
15009,osgb4000000074817021,Glog Hill,Glog Hill
15010,osgb4000000074616199,Bryn Cwmyrhiwdre,Bryn Cwmyrhiwdre
15011,osgb4000000074616957,Hawthorn Hill,Hawthorn Hill
15015,osgb4000000074616648,Banc Trawsnant,Banc Trawsnant
15017,osgb4000000074620102,Crungoed Bank,Crungoed Bank
15018,osgb4000000074620099,Black Hill,Black Hill
15019,osgb4000000074619647,Waun y Gadair,Waun y Gadair
15020,osgb4000000074615874,Banc Bronderwgoed,Banc Bronderwgoed
15023,osgb4000000074612518,Disgwylfa,Disgwylfa
15024,osgb4000000074597120,Carn Sian,Carn Siân
15026,osgb4000000074816926,Pen y Waun-fawr,Pen y Waun-fawr
15028,osgb4000000074599237,Bwlch-y-cefn Bank,Bwlch-y-cefn Bank
15031,osgb4000000074599294,Mynydd Garth-pwt,Mynydd Garth-pwt
15035,osgb4000000074620489,Fron Hir,Fron Hir
15040,osgb4000000074616631,Banc y Garth,Banc y Garth
15044,osgb4000000074616632,Crug Siarls,Crug Siarls
15047,osgb4000000074621856,Clyro Hill,Clyro Hill
15048,osgb4000000074620495,Sugar Loaf,Sugar Loaf
15050,osgb4000000074599355,Pen Rhiw-mwyn,Pen Rhiw-mwyn
15052,osgb4000000074599204,Llan-fawr,Llan-fawr
15053,osgb4000000074618526,Knowle Hill,Knowle Hill
15055,osgb4000000074618915,Llanfraith Hill,Llan-fraith Hill
15057,osgb4000000074620554,Hafod Las,Hafod Las
15060,osgb4000000074619307,Castle Bank,Castle Bank
15061,osgb4000000074617817,Moel Fferm,Moel Fferm
15064,osgb4000000074620542,Banc Creigol,Banc Creigol
15069,osgb4000000074620159,Allt y Clych,Allt y Clych
15070,osgb4000000074619308,Dol-y-fan Hill,Dôl-y-fan Hill
15073,osgb4000000074618530,Aston Hill,Aston Hill
15078,osgb4000000074618448,Ciliau,Ciliau
15079,osgb4000000074617014,Foel,Foel
15080,osgb4000000074621312,Pen y Ddinas,Pen y Ddinas
15081,osgb4000000074620926,Y Foel,Y Foel
15093,osgb4000000074619645,Brynposteg Hill,Brynposteg Hill
15095,osgb4000000074615941,Corun y Ffridd,Corun y Ffridd
